,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0,20040310,18:00:00,2.6,1360.0,150.0,11.881723488680304,1045.5,166.0,1056.25,113.0,1692.0,1267.5,13.599999904633,48.875000953674,0.7577538251293606
1,20040310,19:00:00,2.0,1292.25,112.0,9.397164889581603,954.75,103.0,1173.75,92.0,1558.75,972.25,13.299999952316,47.699999809265,0.7254874492424674
2,20040310,20:00:00,2.2,1402.0,88.0,8.997816871326798,939.25,131.0,1140.0,114.0,1554.5,1074.0,11.900000095367,53.97500038147,0.7502390673981953
3,20040310,21:00:00,2.2,1375.5,80.0,9.228796421407274,948.25,172.0,1092.0,122.0,1583.75,1203.25,11.0,60.0,0.7867125330859253
4,20040310,22:00:00,1.6,1272.25,51.0,6.518223669074141,835.5,131.0,1205.0,116.0,1490.0,1110.0,11.150000095367,59.575000762939,0.7887942318667593
5,20040310,23:00:00,1.2,1197.0,38.0,4.741012362478748,750.25,89.0,1336.5,96.0,1393.0,949.25,11.175000190735,59.175000190735,0.7847716643397448
6,20040311,00:00:00,1.2,1185.0,31.0,3.624399189797516,689.5,62.0,1461.75,77.0,1332.75,732.5,11.324999809265,56.77499961853,0.7603119392843289
7,20040311,01:00:00,1.0,1136.25,31.0,3.3266769916607997,672.0,62.0,1453.25,76.0,1332.75,729.5,10.674999952316,60.0,0.7702384578230451
8,20040311,02:00:00,0.9,1094.0,24.0,2.3394161950867094,608.5,45.0,1579.0,60.0,1276.0,619.5,10.650000095367,59.674999237061,0.7648187256861201
9,20040311,03:00:00,0.6,1009.75,19.0,1.6966582576513223,560.75,246.88125161959056,1705.0,113.07551523007129,1234.75,501.25,10.250000238419,60.200000762939,0.7516571648306898
10,20040311,04:00:00,2.1527495439145166,1011.0,14.0,1.2936197573720989,526.75,21.0,1817.5,34.0,1196.75,445.25,10.075000047684,60.474999427795,0.7464945161292466
11,20040311,05:00:00,0.7,1066.0,8.0,1.1334305711878574,512.0,16.0,1918.0,28.0,1182.0,421.75,10.999999761581,56.175000190735,0.7365596001806396
12,20040311,06:00:00,0.7,1051.75,16.0,1.6037678797288073,553.25,34.0,1738.25,48.0,1221.25,471.5,10.450000047684,58.125,0.7352950830247281
13,20040311,07:00:00,1.1,1144.0,29.0,3.2436181473100727,667.0,98.0,1489.75,82.0,1339.0,729.75,10.200000047684,59.599999427795,0.7417361628563275
14,20040311,08:00:00,2.0,1333.25,64.0,8.013772987090615,899.75,174.0,1136.0,112.0,1517.0,1101.5,10.75,57.425000190735,0.7407945757399766
15,20040311,09:00:00,2.2,1351.0,87.0,9.540642925320222,960.25,129.0,1079.0,101.0,1582.75,1027.75,10.5,60.599998474121,0.7691107927579083
16,20040311,10:00:00,1.7,1233.25,77.0,6.335782437222818,827.25,112.0,1218.0,98.0,1445.75,859.75,10.799999952316,58.35000038147,0.7551830826522904
17,20040311,11:00:00,1.5,1178.75,43.0,4.971583761462568,762.0,95.0,1327.5,92.0,1361.75,670.5,10.499999761581,57.925000190735,0.7351607796315153
18,20040311,12:00:00,1.6,1236.0,61.0,5.216918999884966,774.25,104.0,1301.25,95.0,1401.25,664.0,9.5249998569489,66.774998664856,0.7950537885142038
19,20040311,13:00:00,1.9,1285.5,63.0,7.26993335753569,868.5,146.0,1162.25,112.0,1536.75,799.0,8.299999833107,76.425001144409,0.8392680677502771
20,20040311,14:00:00,2.9,1371.0,164.0,11.539007213563714,1033.5,207.0,983.25,128.0,1730.25,1036.5,8.0,81.14999961853,0.8735885336185425
21,20040311,15:00:00,2.2,1310.0,79.0,8.826222726457212,932.5,184.0,1081.75,126.0,1646.5,946.25,8.325000166893,79.799999237061,0.8777844450980445
22,20040311,16:00:00,2.2,1291.75,95.0,8.301413416761816,911.5,193.0,1102.5,131.0,1590.75,956.75,9.7000000476837,71.150001525879,0.8569381279436317
23,20040311,17:00:00,2.9,1383.0,150.0,11.151581216129403,1019.75,243.0,1008.0,135.0,1718.75,1104.0,9.7750000953674,67.624998092651,0.8185012074753434
24,20040311,18:00:00,4.8,1580.75,307.0,20.799216861460543,1318.5,281.0,798.5,151.0,2083.0,1408.5,10.349999904633,64.174999237061,0.806543633173666
